index,Column,translation,Question,year
247,AIDangerous,AI 态度,What do you think is the most dangerous aspect of increasingly advanced AI technology?,2018
250,AIFuture,AI 态度,"Overall, what's your take on the future of artificial intelligence?",2018
248,AIInteresting,AI 态度,What do you think is the most exciting aspect of increasingly advanced AI technology?,2018
249,AIResponsible,AI 态度,"Whose responsibility is it, <u>primarily</u>, to consider the ramifications of increasingly advanced AI technology?",2018
233,AdBlocker,广告阻塞工具,Do you have ad-blocking software installed on any computers you use regularly?,2018
234,AdBlockerDisable,广告阻塞工具,"In the past month, have you disabled your ad blocker for any reason, even temporarily or for a specific website?",2018
235,AdBlockerReasons,广告阻塞工具,What are the reasons that you have disabled your ad blocker in the past month? Please select all that apply.,2018
239,AdsActions,广告阻塞工具,Which of the following actions have you taken in the past month? Please select all that apply.,2018
236,AdsAgreeDisagree1,广告认识度,To what extent do you agree or disagree with the following statements: Online advertising can be valuable when it is relevant to me,2018
237,AdsAgreeDisagree2,广告认识度,To what extent do you agree or disagree with the following statements: I enjoy seeing online updates from companies that I like,2018
238,AdsAgreeDisagree3,广告认识度,To what extent do you agree or disagree with the following statements: I fundamentally dislike the concept of advertising,2018
240,AdsPriorities1,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement is relevant to me",2018
241,AdsPriorities2,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement is honest about its goals",2018
242,AdsPriorities3,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement provides useful information",2018
243,AdsPriorities4,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement seems trustworthy",2018
244,AdsPriorities5,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement is from a company that I like",2018
245,AdsPriorities6,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement offers something of value, like a free trial",2018
246,AdsPriorities7,广告作用,"Please rank the following advertising qualities in order of their importance to you (by dragging the choices up and down), where 1 is the most important, and 7 is the least important. The advertisement avoids fluffy or vague language",2018
278,Age,年龄,"What is your age? If you prefer not to answer, you may leave this question blank.",2018
216,AgreeDisagree1,其他开发者合作态度,To what extent do you agree or disagree with each of the following statements? I feel a sense of kinship or connection to other developers,2018
217,AgreeDisagree2,其他开发者合作态度,To what extent do you agree or disagree with each of the following statements? I think of myself as competing with my peers,2018
218,AgreeDisagree3,其他开发者合作态度,To what extent do you agree or disagree with each of the following statements? I'm not as good at programming as most of my peers,2018
35,AnnoyingUI,软件 UI 重要性,It annoys me when software has a poor UI,2017
181,AssessBenefits1,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Salary and/or bonuses",2018
190,AssessBenefits10,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Transportation benefit (ex. company-provided transportation, public transit allowance)",2018
191,AssessBenefits11,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Conference or education budget",2018
182,AssessBenefits2,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Stock options or shares",2018
183,AssessBenefits3,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Health insurance",2018
184,AssessBenefits4,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Parental leave",2018
185,AssessBenefits5,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Fitness or wellness benefit (ex. gym membership, nutritionist)",2018
186,AssessBenefits6,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Retirement or pension savings matching",2018
187,AssessBenefits7,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Company-provided meals or snacks",2018
188,AssessBenefits8,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Computer/office equipment allowance",2018
189,AssessBenefits9,新工作重要性角度和薪资待遇判断,"Now, imagine you are assessing a job's benefits package. Please rank the following aspects of a job's benefits package from most to least important to you (by dragging the choices up and down), where 1 is most important and 11 is least important. Childcare benefit",2018
171,AssessJob1,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The industry that I'd be working in",2018
180,AssessJob10,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. How widely used or impactful the product or service I'd be working on is",2018
172,AssessJob2,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The financial performance or funding status of the company or organization",2018
173,AssessJob3,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The specific department or team I'd be working on",2018
174,AssessJob4,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The languages, frameworks, and other technologies I'd be working with",2018
175,AssessJob5,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The compensation and benefits offered",2018
176,AssessJob6,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The office environment or company culture",2018
177,AssessJob7,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The opportunity to work from home/remotely",2018
178,AssessJob8,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. Opportunities for professional development",2018
179,AssessJob9,新工作重要性角度和薪资待遇判断,"Imagine that you are assessing a potential job opportunity. Please rank the following aspects of the job opportunity in order of importance (by dragging the choices up and down), where 1 is the most important and 10 is the least important. The diversity of the company or organization",2018
57,AssessJobCommute,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The amount of time I'd have to spend commuting",2017
55,AssessJobCompensation,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The compensation and benefits offered",2017
52,AssessJobDept,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The specific department or team I'd be working on",2017
61,AssessJobDiversity,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The diversity of the company or organization",2017
51,AssessJobExp,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The experience level called for in the job description",2017
63,AssessJobFinances,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The financial performance or funding status of the company or organization",2017
49,AssessJobIndustry,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The industry that I'd be working in",2017
59,AssessJobLeaders,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The reputations of the company's senior leaders",2017
56,AssessJobOffice,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The office environment I'd be working in",2017
62,AssessJobProduct,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? How widely used or impactful the product or service I'd be working on is",2017
60,AssessJobProfDevel,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? Opportunities for professional development",2017
54,AssessJobProjects,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? How projects are managed at the company or organization",2017
58,AssessJobRemote,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The opportunity to work from home/remotely",2017
50,AssessJobRole,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The specific role or job title I'd be applying for",2017
53,AssessJobTech,工作选择参考角度,"When you're assessing potential jobs to apply to, how important are each of the following to you? The languages, frameworks, and other technologies I'd be working with",2017
97,AuditoryEnvironment,工作环境,"Suppose you're about to start a few hours of coding and have complete control over your auditory environment (music, background noise, etc.). What would you do?",2017
32,BoringDetails,工作内容-对工作细节满意度,I tend to get bored by implementation details,2017
30,BuildingThings,工作内容-对创造性工作态度,Building things is very rewarding,2017
167,CareerSatisfaction,职业满意度,"Overall, how satisfied are you with your career thus far?",2018
18,CareerSatisfaction,职业满意度,Career satisfaction rating,2017
43,ChallengeMyself,工作内容-对创造性工作态度,I like to challenge myself,2017
45,ChangeWorld,工作内容-工作态度,I want to change the world,2017
232,CheckInCode,代码提交频率,"Over the last year, how often have you checked-in or committed code?",2018
100,CheckInCode,代码提交频率,"Over the last year, how often have you checked-in or committed code?",2017
65,ClickyKeys,工作环境-键盘敲击声,"If two developers are sharing an office, is it OK for one of them to get a mechanical keyboard with loud ""clicky"" keys?",2017
107,CollaborateRemote,远程协作,It's harder to collaborate with remote peers than those on site,2017
210,CommunicationTools,社区工具-作用,"Which of the following tools do you use to communicate, coordinate, or share knowledge with your coworkers? Please select all that apply.",2018
9,CompanySize,公司大小,"In terms of the number of employees, how large is the company or organization you work for?",2017
162,CompanySize,公司大小,Approximately how many people are employed by the company or organization you work for?,2018
10,CompanyType,公司类型,Which of the following best describes the type of company or organization you work for?,2017
44,CompetePeers,同事竞争,I think of myself as competing with my peers,2017
208,ConvertedSalary,薪资,"Salary converted to annual USD salaries using the exchange rate on 2018-01-18, assuming 12 working months and 50 working weeks.",2018
3,Country,国家,In which country do you currently live?,2017
157,Country,国家,In which country do you currently reside?,2018
86,CousinEducation,后辈学习建议,"Let's pretend you have a distant cousin. They are 24 years old, have a college degree in a field not related to computer programming, and have been working a non-coding job for the last two years. They want your advice on how to switch to a career as a software developer. Which of the following options would you most strongly recommend to your cousin?
Let's pretend you have a distant cousin named Robert. He is 24 years old, has a college degree in a field not related to computer programming, and has been working a non-coding job for the last two years. He wants your advice on how to switch to a career as a software developer. Which of the following options would you most strongly recommend to Robert?
Let's pretend you have a distant cousin named Alice. She is 24 years old, has a college degree in a field not related to computer programming, and has been working a non-coding job for the last two years. She wants your advice on how to switch to a career as a software developer. Which of the following options would you most strongly recommend to Alice?",2017
79,Currency,使用货币,"Which currency do you use day-to-day? If you're a globe-trotting digital nomad and the answer is “it's complicated,” please pick the one you're most comfortable estimating in.",2017
205,Currency,使用货币,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in.",2018
209,CurrencySymbol,货币符号简写,Three digit currency abbreviation.,2018
222,DatabaseDesireNextYear,数据库变化,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",2018
221,DatabaseWorkedWith,数据库使用,"Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",2018
279,Dependents,家庭成员,"Do you have any children or other dependents that you care for? If you prefer not to answer, you may leave this question blank.",2018
163,DevType,开发类型-2018年数据,Which of the following describe you? Please select all that apply.,2018
14,DeveloperType,开发类型-2017年数据,Which of the following best describe you?,2017
106,DifficultCommunication,交流困难,I have difficulty communicating my ideas to my peers,2017
34,DiversityImportant,多样工作环境重要性,Diversity in the workplace is important,2017
82,EducationImportant,教育重要性,"Overall, how important has your formal schooling and education been to your career success?",2017
276,EducationParents,没有该字段,"What is the highest level of education received by either of your parents? If you prefer not to answer, you may leave this question blank.",2018
83,EducationTypes,学习教育方式,"Outside of your formal schooling and education, which of the following have you done?",2017
212,EducationTypes,学习教育方式,Which of the following types of non-degree education have you used or participated in? Please select all that apply.,2018
159,Employment,工作状态,Which of the following best describes your current employment status?,2018
5,EmploymentStatus,工作状态,Which of the following best describes your current employment status?,2017
104,EnjoyDebugging,debug 态度,I enjoy debugging code,2017
110,EquipmentSatisfiedCPU,设备满意度,"Thinking about your main coding workstation, how satisfied are you with each of the following? Processing power (CPU and/or GPU)",2017
109,EquipmentSatisfiedMonitors,设备满意度,"Thinking about your main coding workstation, how satisfied are you with each of the following? Monitors/screens (number of, size, resolution)",2017
111,EquipmentSatisfiedRAM,设备满意度,"Thinking about your main coding workstation, how satisfied are you with each of the following? Amount of RAM",2017
113,EquipmentSatisfiedRW,设备满意度,"Thinking about your main coding workstation, how satisfied are you with each of the following? Storage read/write speed",2017
112,EquipmentSatisfiedStorage,设备满意度,"Thinking about your main coding workstation, how satisfied are you with each of the following? Storage capacity",2017
272,ErgonomicDevices,工作设备,What ergonomic furniture or devices do you use on a regular basis? Please select all that apply.,2018
254,EthicalImplications,道德角度问题,Do you believe that you have an obligation to consider the ethical implications of the code that you write?,2018
251,EthicsChoice,道德角度问题,Imagine that you were asked to write code for a purpose or product that you consider extremely unethical. Do you write the code anyway?,2018
252,EthicsReport,道德角度问题,Do you report or otherwise call out the unethical code in question?,2018
253,EthicsResponsible,道德角度问题,Who do you believe is ultimately most responsible for code that accomplishes something unethical?,2018
23,ExCoder10Years,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? My career is going the way I thought it would 10 years ago",2017
27,ExCoderActive,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I'm still active in the developer community",2017
22,ExCoderBalance,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I have better work-life balance now than I did as a developer",2017
24,ExCoderBelonged,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? When I was a developer, I didn't feel like I belonged with my colleagues",2017
21,ExCoderNotForMe,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? Working as a developer just wasn't for me",2017
20,ExCoderReturn,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? If money weren't an issue, I would take a coding job again",2017
25,ExCoderSkills,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I don't think my coding skills are up to date",2017
26,ExCoderWillNotCode,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I probably won't code for a living ever again",2017
273,Exercise,锻炼,"In a typical week, how many times do you exercise?",2018
153,ExpectedSalary,毕业后期望年薪,"You said before that you are currently learning how to program. When you have completed your studies, what annual salary do you expect to earn in your first job after graduation?",2017
160,FormalEducation,完成的最高学位,Which of the following best describes the highest level of formal education that you’ve completed?,2018
6,FormalEducation,完成的最高学位,Which of the following best describes the highest level of formal education that you've completed?,2017
226,FrameworkDesireNextYear,下一年工作的库和工具,"Which of the following libraries, frameworks, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year?",2018
225,FrameworkWorkedWith,当前工作的扩展库和工具,"Which of the following libraries, frameworks, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year?",2018
36,FriendsDevelopers,朋友是否为开发者,"Most of my friends are developers, engineers, or scientists",2017
274,Gender,性别,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank.",2018
145,Gender,性别,Which of the following do you currently identify as?,2017
215,HackathonReasons,在线编程和学习的原因,You indicated previously that you had participated in an online coding competition or hackathon.  Which of the following best describe your reasons for doing so?,2018
92,HaveWorkedDatabase,正在使用的数据库,"Which of the following database technologies have you done extensive development work in over the past year, and which do you want to work in over the next year?",2017
90,HaveWorkedFramework,正在使用的框架,"Which of the following libraries, frameworks, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year?",2017
88,HaveWorkedLanguage,正在使用语言,"Which of the following languages have you done extensive development work in over the past year, and which do you want to work in over the next year?",2017
94,HaveWorkedPlatform,正在使用系统平台,"Which of the following platforms have you done extensive development work for over the past year, and which do you want to work on over the next year?",2017
146,HighestEducationParents,父母收到的最高教育程度,What is the highest level of education received by either of your parents?,2017
155,Hobby,编程爱好,Do you code as a hobby?,2018
8,HomeRemote,远程和在工作频率,How often do you work from home or remotely?,2017
168,HopeFiveYears,5 年工作计划,Which of the following best describes what you hope to be doing in five years?,2018
269,HoursComputer,一天的桌面工作时间,"On a typical day, how much time do you spend on a desktop or laptop computer?",2018
270,HoursOutside,一天之内的非工作时间,"On a typical day, how much time do you spend outside?",2018
47,HoursPerWeek,每周工作时间,"During a typical week, approximately how many hours do you spend on activities related to finding new job opportunities?Please adjust the slider to the appropriate number of hours. The box to the right will indicate the number of hours you have chosen.",2017
263,HypotheticalTools1,对假设工具打分_同伴指导系统,"Please rate your interest in participating in each of the following hypothetical tools on Stack Overflow, where 1 is not at all interested and 5 is extremely interested. A peer mentoring system",2018
